Gene_set	Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
KEGG_2019_Human	Oocyte meiosis	1/125	0.7072857485220521	1.0	0	0	0.8205128205128205	0.28416043017090004	PPP3CA
KEGG_2019_Human	Vascular smooth muscle contraction	1/132	0.7268097667943135	1.0	0	0	0.7770007770007771	0.2479335699094639	ARHGEF1
KEGG_2019_Human	FoxO signaling pathway	1/132	0.7268097667943135	1.0	0	0	0.7770007770007771	0.2479335699094639	SOD2
KEGG_2019_Human	Systemic lupus erythematosus	1/133	0.7294910539900121	1.0	0	0	0.771158665895508	0.2432297469073842	C1QA
KEGG_2019_Human	Parkinson disease	1/142	0.7524744329660231	1.0	0	0	0.7222824124232575	0.2054086378195696	UBE2L6
KEGG_2019_Human	Adrenergic signaling in cardiomyocytes	1/145	0.7596952746454423	1.0	0	0	0.7073386383731212	0.1944034521799229	ATP2A2
KEGG_2019_Human	Breast cancer	1/147	0.7643923473190624	1.0	0	0	0.6977149834292691	0.1874579298954621	NFKB2
KEGG_2019_Human	Oxytocin signaling pathway	1/153	0.7779425042849147	1.0	0	0	0.6703536115300821	0.16832757464859344	PPP3CA
KEGG_2019_Human	Ribosome	1/153	0.7779425042849147	1.0	0	0	0.6703536115300821	0.16832757464859344	RPL22L1
KEGG_2019_Human	Huntington disease	1/193	0.8504546767499891	1.0	0	0	0.5314202205393915	0.08608165733474654	SOD2
KEGG_2019_Human	cAMP signaling pathway	1/212	0.8760926497802892	1.0	0	0	0.4837929366231253	0.06399778860621877	ATP2A2
KEGG_2019_Human	Thermogenesis	1/231	0.8973538340017854	1.0	0	0	0.444000444000444	0.0480874818220064	MAP2K3
KEGG_2019_Human	Ras signaling pathway	1/232	0.8983663098324929	1.0	0	0	0.4420866489832007	0.04738168720048793	EPHA2
KEGG_2019_Human	Endocytosis	1/244	0.9097680715849248	1.0	0	0	0.4203446826397647	0.03975013801823952	ARRB2
KEGG_2019_Human	Cytokine-cytokine receptor interaction	1/294	0.9450839344202407	1.0	0	0	0.3488574917146345	0.01970400695632077	GDF15
KEGG_2019_Human	Herpes simplex virus 1 infection	2/492	0.9547088005887048	1.0	0	0	0.41692724619553895	0.01932412167969364	STAT1;TAP1
KEGG_2019_Human	Olfactory transduction	1/444	0.9877129202727966	1.0	0	0	0.231000231000231	0.002855899741836649	ARRB2
